city,territory
CARY,WEST
APEX,WEST
MORRISVILLE,WEST
NEW HILL,WEST
FUQUAY VARINA,SOUTH
HOLLY SPRINGS,SOUTH
WILLOW SPRING,SOUTH
LILLINGTON,SOUTH
WAKE FOREST,NORTH
YOUNGSVILLE,NORTH
ROLESVILLE,NORTH
FRANKLINTON,NORTH
GARNER,SOUTHEAST
CLAYTON,SOUTHEAST
ANGIER,SOUTHEAST
BENSON,SOUTHEAST
COATS,SOUTHEAST
SMITHFIELD,SOUTHEAST
LOUISBURG,FAR NORTH
CREEDMOOR,FAR NORTH
HENDERSON,FAR NORTH
KITTRELL,FAR NORTH
BUNN,FAR NORTH
WENDELL,EAST
ZEBULON,EAST
KNIGHTDALE,EAST
MIDDLESEX,EAST
DURHAM,DURHAM
CHAPEL HILL,DURHAM
PITTSBORO,DURHAM
MONCURE,DURHAM
HILLSBOROUGH,DURHAM
SANFORD,SANFORD
